,Medal,Host,AG.LND.CREL.HA,AG.LND.TOTL.K2,AG.YLD.CREL.KG,BX.KLT.DINV.CD.WD,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,EN.URB.LCTY,EN.URB.LCTY.UR.ZS,FI.RES.TOTL.CD,IS.AIR.DPRT,IT.CEL.SETS,IT.MLT.MAIN,IT.MLT.MAIN.P2,NE.CON.GOVT.CN,NE.CON.GOVT.ZS,NE.CON.PETC.ZS,NE.EXP.GNFS.ZS,NE.GDI.TOTL.ZS,NE.RSB.GNFS.CD,NE.RSB.GNFS.CN,NY.GDP.DEFL.KD.ZG,NY.GDP.DEFL.ZS,NY.GDP.DISC.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,SE.PRE.DURS,SE.PRM.AGES,SE.PRM.DURS,SE.SEC.DURS,SH.DTH.IMRT,SH.DYN.MORT,SH.IMM.IDPT,SP.POP.2529.FE.5Y,SP.POP.3034.FE.5Y,SP.POP.3539.FE.5Y,SP.POP.GROW,SP.POP.TOTL.FE.ZS,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZS,TM.VAL.MRCH.AL.ZS,TM.VAL.MRCH.HI.ZS,TM.VAL.MRCH.OR.ZS,TM.VAL.MRCH.R1.ZS,TM.VAL.MRCH.R2.ZS,TM.VAL.MRCH.R3.ZS,TM.VAL.MRCH.R4.ZS,TM.VAL.MRCH.R5.ZS,TM.VAL.MRCH.R6.ZS,TM.VAL.MRCH.RS.ZS,TX.VAL.MRCH.AL.ZS,TX.VAL.MRCH.OR.ZS,TX.VAL.MRCH.R1.ZS,TX.VAL.MRCH.R4.ZS,TX.VAL.MRCH.R5.ZS,TX.VAL.MRCH.R6.ZS,TX.VAL.MRCH.RS.ZS
533,3,0,11280479.0,769630.0,2958.3,13628000000.0,1.55930022913583,96.8905409092681,13429473.0,25.070647675848605,119182966094.83,476115.0,67680547.0,13859672.0,18.73001341,223401703000.0,14.232380189943301,62.374048393141,23.667365858548997,28.3041495123357,-42917558167.4042,-77079974999.9999,7.41821791158203,124.36393871626998,0.00011,4.789940207034411,11720.307701931,3.0,6.0,5.0,7.0,18581.0,16.6,97.0,8.29753971749938,8.07315198393736,7.49795331268417,1.5683755956577399,50.8350088761055,-0.372474511469205,28.166,4.45991336979461,52.1394474230383,24.227694037074798,11.4686576577942,17.8294979139837,1.9192311478283501,6.66388935043233,3.07232486157719,1.10359101944278,5.803360625903139,23.831074809812797,29.312248699584497,2.43441689491496,21.6049593282058,1.06238640106599,2.4999026077602498,2.24215976822774
534,3,0,1610629.0,425400.0,4614.1,563040000.0,1.08649730938544,69.99177244945929,2225088.0,20.6542832504565,0.0,24328.0,20274090.0,1980038.0,6.937418642000001,15282297200000.0,15.6054390259095,66.2647783998252,27.334788775575902,23.279345405307698,-2668584479.08177,-5042930833499.99,14.909655628921499,3861.3643674235705,14403018833500.0,8.20000000094711,1740.4682979775,4.0,7.0,4.0,8.0,18243.0,31.7,99.0,9.41542655885195,7.81566826985095,6.7492728248874405,1.47209998811321,50.2273024704059,1.4579953553443998,63.818000000000005,0.0605839340889034,35.4760029485644,18.7538287763887,17.2911852792487,45.7701682750469,0.261318843484261,0.0104184417785864,1.19010065081513,0.000805561061981622,0.0,0.26866778210442005,28.347551734487702,17.753544221448898,1.8496627409431499,8.5455866904994,0.0863718838224229,0.0
535,3,0,1903165.0,108560.0,3671.8,1788110000.0,3.31727188244515,67.2981577008106,1210753.0,22.7107882307482,20507099766.2662,11826.0,10780732.0,2132905.0,29.30687728,12970928000.0,15.810413621901901,65.4202638117029,60.801810483416794,21.9420261544527,-1710183311.4323401,-2602899000.00002,1.55532399363496,107.62684154918001,8e-06,0.0309436075978766,7378.025539441559,4.0,7.0,4.0,8.0,580.0,9.9,95.0,6.255168357539611,6.7208968337872195,7.1156307654752196,-0.579220596364389,51.3296684145889,-1.8037513557310398,27.029,1.1412730829045101,55.4591743339167,6.11849750393346,3.52361765630409,37.9653572473197,1.18430704326171,0.8502403808996509,0.351231048120704,0.209101375347298,0.456970914830179,4.67894553310747,9.31066666889526,3.3374475228805203,3.3259939386916297,0.322070882533598,1.89424274508125,1.4883979079249998
536,3,0,1036300.0,303890.0,3533.7,4932843235.40106,1.9215890080660099,17.815561551877302,1145673.0,25.246565839624,11082345110.0045,138914.132653061,9320000.0,889500.0,16.44643786,48682000000.0,24.366219036703,54.54995920778,39.4813632109233,22.5268152537877,-3704257615.3349204,-2883000000.0,2.95356439473966,105.61390896163799,-121000000.0,-1.42618935959564,47415.5598711351,4.0,7.0,6.0,6.0,136.0,2.8,99.0,6.05016156667013,6.1517353981716,5.619280797715911,0.475809486683209,50.8714796180587,-0.33049028069714503,16.180999999999997,0.107040768088726,72.1254005871759,27.873938971559,5.27072181042815,19.2623316702587,1.8661225755826003,0.0547943202246145,0.530803990030898,0.8891646050340719,0.000660441265039294,2.61006777584197,26.3445496331519,6.168142968050421,1.46954793719694,1.06233814077324,1.8103415965848701,0.5546685025429879
537,3,0,17403119.0,1811570.0,5082.0,21200778607.8727,2.3097803266511003,137.38537953267098,9899215.0,7.7250108505991,112797628043.608,641182.300723356,281963665.0,37982855.0,15.38613391,796848275918400.0,9.24878837149533,56.073758740525506,24.5943787881769,35.0715936108881,-3617699099.0546703,-33958000000000.3,3.75387875323653,111.500084236182,-27181492189099.8,6.0300506530561195,3687.9539964578603,2.0,7.0,6.0,6.0,128587.0,30.6,83.0,8.65850897438891,8.27468415552239,7.63738661497761,1.28419898226833,49.5779428419752,-0.30274596144042,48.512,6.58316124126471,59.1947383056744,11.1141082522103,29.5745319889919,2.65285917209456,2.4385205549331,1.24067742160085,2.46531012862352,2.3167409749583103,0.11662145312334302,3.31191509115803,14.987271255134301,24.6254472237627,1.43296680191472,8.12152527691012,2.0611330012218603,0.0222886932116442
538,3,0,341312.0,30280.0,8666.3,6683318618.52526,1.34234394184714,367.51142668428,1993061.0,18.3255535632732,30768940132.8315,132099.342541943,12313375.0,4634782.0,41.90544475,94010600000.0,24.26079373915,51.917973698587396,82.3058368243002,23.204535947216502,3070435110.42867,2389700000.0,1.97466856958044,104.016045711318,0.0,0.23479692439649102,44740.5832481477,3.0,6.0,6.0,6.0,445.0,4.3,99.0,6.270570315002461,6.33920672126263,6.416068151413469,0.7260316551320308,50.8981280641686,-1.2383925096586699,2.2680000000000002,2.6491557636986403,84.0260969873925,15.9628350332374,5.253094984419111,4.21359199516962,2.1245249565364097,1.07215638051676,1.65250655116279,1.64696016543273,0.0110679793700788,2.82599909968045,14.8034845041547,2.95542414944789,1.4950472152296699,2.50866593766097,2.2086622957213398,1.25340053533874
539,2,0,188794.0,48310.0,3747.7,3415900000.0,5.63552974443481,210.203891533844,2733596.0,35.4013780863906,3558641727.8733397,2303.0,8934196.0,1128947.0,10.98558563,234997045000.0,9.8561003401788,75.16390187130291,24.642606043470604,24.1790087706507,-5575855871.38401,-219330193800.0,5.06071858609324,136.689518191924,-0.00032,2.79391037219111,5968.87676663626,3.0,6.0,6.0,6.0,6017.0,33.4,85.0,8.3350328728269,7.45144916687199,6.63091542895002,1.2670342421337,50.1195130849915,-3.26137767294846,23.961,0.520066068460463,62.8103123108366,12.088057294637599,10.8014200330639,0.4062626584316839,24.5083689083951,0.0627589093867781,0.7559818468623442,0.0616338468928886,0.593261486130669,0.0587868524792742,5.83762206986788,4.77171647715258,0.028978376479043,0.124267269913364,0.853350411637938,6.992245232500781
540,2,0,563900.0,62180.0,3767.5,1078662408.44526,3.8359265997142593,32.7166130588614,646767.0,47.066969789148395,7524707970.95712,46732.0,2630873.0,476141.0,23.10883952,3799137000.0,17.359061407144498,60.9129888205553,61.309482169862,26.174784320640203,-1250449699.4878302,-973217000.0,3.61573046487467,110.24159838738001,0.0,4.03462837497035,13822.8055940347,4.0,7.0,6.0,6.0,123.0,6.7,91.0,6.662873313312531,6.0857416958612,6.3338877465158605,-1.2403591532927098,54.177150011154794,-1.01831096106227,32.452,0.0965454299565355,80.7216095055615,19.2765454727332,3.2450530890218197,15.472328807832401,0.0978762986862938,0.0772765467411946,0.345841016377175,0.0381697140742549,0.00184502170536195,3.33691491683855,30.882311595356697,0.7530002610969359,3.6224756403042995,1.67219324170782,0.190786273614202,0.9811384575226441
541,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
542,2,0,170172.0,28470.0,2650.5,496636701.129687,4.67672787765567,101.226624517035,1057088.0,58.07374916975739,1799374401.18715,6043.0,3322837.0,583685.0,19.65877657,465469300000.0,10.909963891614598,84.59542986510709,27.5667218763657,25.327905883577298,-2212354765.48421,-888844500000.0,5.3458044158699405,220.660614413329,-109596800000.0,7.200000003282269,3684.80481032649,3.0,6.0,4.0,8.0,626.0,16.3,95.0,9.05078948570832,7.4910738180560195,6.16856286838859,0.220269188354708,53.159407436091996,0.7918837315435531,36.839,2.34167367432202,35.283803163523295,22.9474782760714,11.398514218324499,41.693415231918394,3.12354889102973,6.24872373245817,1.8291573389240101,0.34753409533504404,0.0753033284868034,1.87948749548359,11.687915054995198,2.4144488153689703,8.01078351739765,0.120482745195795,0.0491214348333898,1.3545811848270901
